Departamento,Provincia,Distrito,Oficina Regional,ID,x,y,Establecimiento Penitenciario,Hacinamiento,Descripción,vinculo,Dirección,Creación data,Creador,OBJECTID,Global,x2,y2
Ancash,Santa,Chimbote,Lima,20,-78.55729675,-8.99947834,Chimbote,SI,"El Establecimiento Penitenciario de Chimbote se ubica en el distrito de Chimbote, provincia de Casma del departamento de Ancash.",https://www.inpe.gob.pe/region-lima/item/100-e-p-chimbote.html,Cambio Puente S/N,4/23/2021 12:00:00 AM,INPE_2020,22,f053a1fe-d730-4d9b-bc31-ed69ec04d133,-78.560791999751,-8.9965990004435
Ica,Chincha,Chincha Alta,Lima,21,-76.08010864,-13.37621117,Chincha,SI,El Establecimiento Penal de Chincha fue construido en el año 2014 por la empresa MALAGA  de procedencia peruana.,https://www.inpe.gob.pe/region-lima/item/114-e-p-chincha.html,Pampa El Ñoco S/N - CHINCHA ALTA,4/23/2021 12:00:00 AM,INPE_2020,23,bd06a806-21c2-4cc5-ba2a-9532f7549ab9,-76.0801109999227,-13.376218999707
Lima,Huaura,Caleta De Carquin,Lima,29,-77.62532806,-11.08878326,Huacho,SI,"Se construyó en un principio en el año 1984, Para posteriormente el 12 de noviembre de 1994, se dio por inaugurada la nueva infraestructura del Establecimiento Penitenciario.",https://www.inpe.gob.pe/region-lima/item/112-e-p-huacho.html,Av. Industrial s/n,4/23/2021 12:00:00 AM,INPE_2020,24,9c79745b-d8b5-4c14-ae7c-f2385a1167ad,-77.6246739997053,-11.0896410000321
Lima,Huaral,Aucallama,Lima,34,-77.16101074,-11.54634476,Huaral,SI,"El terreno del E.P. Huaral pertenece a la comunidad campesina de Aucallama, el mismo que dona al INPE 200,000 m2 mediante un convenio para la construcción del penal.",https://www.inpe.gob.pe/region-lima/item/115-e-p-huaral.html,Comunidad Campesina Aucallama,4/23/2021 12:00:00 AM,INPE_2020,25,4284c722-0819-4d4f-8751-1aa04f95b9eb,-77.1610160002882,-11.5463439997757
Ancash,Huaraz,Huaraz,Lima,35,-77.53417969,-9.527405739,Huaraz,SI,"El EP Huaraz funciona a partir de mayo de 1994, fecha que se inauguró, siendo el Dr. Víctor Pérez Liendo presidente del Consejo Nacional Penitenciario.",https://www.inpe.gob.pe/region-lima/item/99-e-p-huaraz.html,Av. Bolognaesi S/N.),4/23/2021 12:00:00 AM,INPE_2020,26,f41daddd-c290-44ca-ab1f-c80bc8ae48e3,-77.5345219998903,-9.52691199978892
Ica,Ica,Ica,Lima,36,-75.73228455,-14.09384727,Ica,SI,"Fue inaugurado el 08 de Diciembre de 1967, durante el cual se denominaba Dirección General de Establecimiento Penales lo que a la fecha denominada INPE- Instituto Nacional Penitenciario.",https://www.inpe.gob.pe/region-lima/item/113-e-p-ica.html,Caserio Cachiche S/N.,4/23/2021 12:00:00 AM,INPE_2020,27,1416dd4e-2f34-4433-92d8-234789fbea14,-75.7323179998758,-14.0947209998742
Lima,Lima,San Juan De Lurigancho,Lima,45,-76.996876,-11.992014,Lurigancho,SI,"Durante el primer gobierno del Arquitecto Fernando Belaunde Terry en el año 1962, se aprobó la construcción del Establecimiento Penal de Lurigancho.",https://www.inpe.gob.pe/region-lima/item/102-e-p-lurigancho.html,Av. El Sol S/N.,4/23/2021 12:00:00 AM,INPE_2020,28,adb17d30-c74f-4668-ad2d-35faa23894fd,-76.9968759996277,-11.9920139997462
Lima,Lima,San Juan De Lurigancho,Lima,46,-76.989316,-11.98396,Miguel Castro Castro,SI,Fecha de creación del penal: febrero 1 986,https://www.inpe.gob.pe/region-lima/item/103-e-p-miguel-castro-castro.html,Av. Santa Rosa S/N.,4/23/2021 12:00:00 AM,INPE_2020,29,dbf941f1-1c01-432c-93b8-16e9535fc08e,-76.9893159999334,-11.9839599997541
Lima,Lima,Chorrillos,Lima,22,-77.01989746,-12.17350769,Mujeres de Chorrillos,SI,Fue construido el 14 de Julio de 1951 y fue inaugurado el 24 de Julio de 1952. Se encuentra ubicado exactamente en la décima cuadra de la Av. Defensores del Morro (Ex Huaylas) del distrito de Chorrillos,https://www.inpe.gob.pe/region-lima/item/101-e-p-chorrillos-comunes.html,Av. Defensores del Morro (ex huaylas) Cdra. 10 S/N.,4/23/2021 12:00:00 AM,INPE_2020,30,346d6dab-9c58-4936-a34f-4569c48f3f92,-77.0192889998874,-12.1736919997859
Lima,Lima,Chorrillos,Lima,67,-77.00304413,-12.19343948,Virgen de Fátima,NO,"El establecimiento Penitenciario Modelo “Virgen de Fátima”, se encuentra ubicado en parte de lo que fue el Cuartel “Tarapacá”, perteneciente al Ejército del Perú en el distrito de Chorrillos.",https://www.inpe.gob.pe/region-lima/item/106-e-p-virgen-de-fatima.html,Av. Caminos del Inca S/N. (ex cuartel - tarapaca).,4/23/2021 12:00:00 AM,INPE_2020,31,daff845f-5a0c-4e51-9c9d-d600dc808b5b,-77.0025779999747,-12.1931739997802
Amazonas,Utcubamba,Bagua Grande,Nor Oriente San Martin,8,-78.44743347,-5.748855591,Bagua Grande,SI,"Se encuentra ubicado en la Calle Daniel Alcides Carrión S/N, en el Distrito de Bagua Grande, Provincia de Utcubamba y Región Amazonas.",https://www.inpe.gob.pe/region-nor-oriente/item/128-e-p-bagua-grande.html,Av. Daniel Alcides Carrión 772 Urb. Gonchillo.,4/23/2021 12:00:00 AM,INPE_2020,32,16d6dc16-27a9-4776-9451-420ad342c1fe,-78.4468639997737,-5.74964499991677
Amazonas,Chachapoyas,Huancas,Nor Oriente San Martin,16,-77.86763763,-6.16076088,Chachapoyas,NO,"El E.P Chachapoyas está ubicado en el distrito de Huancas, de la provincia de Chachapoyas, departamento de Amazonas.",https://www.inpe.gob.pe/region-nor-oriente/item/129-e-p-chachapoyas.html,Comunidad de Huancas Km. 12,4/23/2021 12:00:00 AM,INPE_2020,33,1695d474-066a-4db2-abd2-cfc7c6a0f260,-77.8676380002934,-6.16076600025065
Loreto,Maynas,Belen,Nor Oriente San Martin,37,-73.27352142,-3.771052837,Iquitos,NO,"Está ubicado en Av. Guardia Republicana S/N, distrito de Belén, provincia de  Maynas, departamento de Loreto.",https://www.inpe.gob.pe/region-nor-oriente/item/125-e-p-iquitos-varones.html,Carret. Guayabamba km. 18.200,4/23/2021 12:00:00 AM,INPE_2020,34,78636902-9e58-4ca0-8016-c1fb904e611a,-73.2735269995713,-3.77105500018808
San Martin,Mariscal Caceres,Juanjui,Nor Oriente San Martin,41,-76.73738098,-7.188416481,Juanjui,NO,"EI Establecimiento Penitenciario del Juanqui es de construcción nueva, data su apertura el 20 de Junio del 2013.",https://www.inpe.gob.pe/region-nor-oriente/item/124-e-p-juanjui.html,"Jr. Huallaga cuadra 20 S/N, del Sector Juanjuicillo",4/23/2021 12:00:00 AM,INPE_2020,35,7d302b19-2cd3-45d9-9223-6cd2f1ccabab,-76.7373790001407,-7.18841799999063
San Martin,Moyobamba,Moyobamba,Nor Oriente San Martin,48,-76.97962189,-6.039374828,Moyobamba,SI,"Está ubicado en el sector Shango Parte Alta del barrio de Belén, en la ciudad de Moyobamba, provincia de Moyobamba, departamento de San Martin.",https://www.inpe.gob.pe/region-nor-oriente/item/123-e-p-moyobamba.html,Sector Shango – Barrio de Belen,4/23/2021 12:00:00 AM,INPE_2020,36,d43c2f0b-b47d-4bcb-aa41-4c5561ea6462,-76.9796330003626,-6.03937899984095
Loreto,Maynas,Belen,Nor Oriente San Martin,38,-73.2740097,-3.7719028,Mujeres de Iquitos,NO,"El E.P Mujeres Iquitos está ubicado en Av. Guardia Republicana S/N, distrito de Belén, Provincia de  Maynas, Departamento de Loreto, destinado para internos procesados.",https://www.inpe.gob.pe/region-nor-oriente/item/126-e-p-mujeres-iquitos.html,Carret. Guayabamba km. 18.200,4/23/2021 12:00:00 AM,INPE_2020,37,7d4b329e-79fe-4cbb-b84d-45f1dfb9eb6c,-73.2740379997538,-3.77219599974552
San Martin,San Martin,La Banda De Shilcayo,Nor Oriente San Martin,50,-76.33177185,-6.490719318,Sananguillo,NO,"Se encuentra ubicado en el Jr. Almendras S/N Sector Pampas de Sananguillo, en el Distrito de la Banda de Shilcayo, Provincia y Región de San Martín.",https://www.inpe.gob.pe/region-nor-oriente/item/122-e-p-pampas-de-sananguillo.html,Jr. Las Almendras Cdra. 02 - Pampas de Sananguillo,4/23/2021 12:00:00 AM,INPE_2020,38,48c40897-8cfb-4863-ac9f-1425bde1b025,-76.3317690003391,-6.49072199972045
San Martin,San Martin,Tarapoto,Nor Oriente San Martin,62,-76.36128235,-6.492861271,Tarapoto,SI,"Se encuentra ubicado en la Av. Circunvalación Cuadra 10, en el Distrito de Tarapoto, Provincia y Región de San Martín.",https://www.inpe.gob.pe/region-nor-oriente/item/121-e-p-tarapoto.html,Av. Circunvalación S/N. Cdra. 11,4/23/2021 12:00:00 AM,INPE_2020,39,66b97c6b-f8e3-4b38-96a0-719c34387ba0,-76.3631020000572,-6.47559099982476
Loreto,Alto Amazonas,Yurimaguas,Nor Oriente San Martin,69,-76.11322784,-5.897758484,Yurimaguas,NO,"Está ubicado en la Av. Atanasio Jáuregui N° 901, de la Ciudad de Yurimaguas, Provincia de Alto Amazonas, Departamento de Loreto.",https://www.inpe.gob.pe/region-nor-oriente/item/127-e-p-yurimaguas.html,Av. Anastasio Jauregui 901-Yurimaguas.,4/23/2021 12:00:00 AM,INPE_2020,40,21e6831c-bb82-4381-b2c0-53eb49a8f4fc,-76.1132310002105,-5.89776200001626
Cajamarca,Cajamarca,Cajamarca,Norte Chiclayo,10,-78.48678589,-7.188962936,Cajamarca,SI,El Establecimiento Penitenciario de Cajamarca se encuentra a las afueras de la ciudad de Cajamarca con domicilio fiscal en la AV. San Martín S/N carretera a Agocucho.,https://www.inpe.gob.pe/region-norte/item/131-e-p-cajamarca.html,Av San Martin de Porres S/N (Fundo Huacariz),4/23/2021 12:00:00 AM,INPE_2020,41,402ed701-aa9b-4355-95b4-280af3dda952,-78.4859180003155,-7.1902629996377
Lambayeque,Chiclayo,Picsi,Norte Chiclayo,19,-79.76418304,-6.715507984,Chiclayo,SI,"El Establecimiento Penitenciario de Chiclayo se encuentra ubicado en el distrito de Picsi, provincia de Chiclayo, departamento de Lambayeque y pertenece a la Oficina Regional Norte Chiclayo.",https://www.inpe.gob.pe/region-norte/item/130-e-p-chiclayo.html,Ex Fundo Santa María del Rocio S/N.,4/23/2021 12:00:00 AM,INPE_2020,42,2a4cf35d-8e82-4c9d-a8dd-8c1d8e0b45ca,-79.7627519996051,-6.71842799995221
Cajamarca,Chota,Chota,Norte Chiclayo,24,-78.65090942,-6.561808109,Chota,SI,La historia del Establecimiento Penal de Chota es corta: el local que actualmente ocupa data de 1870 (Gobierno de José Balta).,https://www.inpe.gob.pe/region-norte/item/132-e-p-chota.html,Jr. Garcilazo de la Vega N° 235,4/23/2021 12:00:00 AM,INPE_2020,43,ef3258f5-5218-4d83-a928-b3a27d0db93c,-78.6510039996348,-6.56196099970032
Cajamarca,Jaen,Jaen,Norte Chiclayo,39,-78.80577087,-5.709444046,Jaen,SI,"El penal de Jaén se encuentra ubicado en el jirón Mariano Melgar N°120, a dos cuadras de la plaza de Armas de Jaén.",https://www.inpe.gob.pe/region-norte/item/133-e-p-jaen.html,Av. Mariano Melgar N° 120 – Manco Capac,4/23/2021 12:00:00 AM,INPE_2020,44,2876a569-f7b8-4db8-82cb-475a1b44f7ee,-78.8056840002164,-5.70975500039293
La Libertad,Trujillo,Huanchaco,Norte Chiclayo,65,-79.05932617,-8.028546333,Mujeres de Trujillo,SI,"El Establecimiento Penitenciario de Mujeres Trujillo, fue construido en el año 1995 durante el gobierno del presidente Ing. Alberto Fujimori Fujimori.",https://www.inpe.gob.pe/region-norte/item/138-e-p-trujillo-mujeres.html,Panamericana Norte Km. 570 (Huanchaco),4/23/2021 12:00:00 AM,INPE_2020,45,7230dfb2-39ff-4c0d-b6f2-5cd37f5fb302,-79.0583270001908,-8.02848299969065
La Libertad,Pacasmayo,San Pedro De Lloc,Norte Chiclayo,49,-79.50440216,-7.423244476,Pacasmayo,SI,"El Establecimiento Penitenciario de Pacasmayo está ubicado en el Jirón Ancash N°880, ubicado en distrito de San Pedro de Lloc.",https://www.inpe.gob.pe/region-norte/item/134-e-p-pacasmayo.html,"Jr. Anchash 880, San Pedro De Lloc - La Libertad.",4/23/2021 12:00:00 AM,INPE_2020,46,3cd9f56a-5475-4898-a0c4-c997c54d623c,-79.5040879998613,-7.42326100019494
Piura,Piura,Castilla,Norte Chiclayo,51,-80.60562134,-5.143362045,Piura,SI,"La construcción del penal Piura se inició en el año 1994-1995, y fue inaugurado en el mes de junio.",https://www.inpe.gob.pe/region-norte/item/135-e-p-piura.html,Caserio Rio Seco S/N.,4/23/2021 12:00:00 AM,INPE_2020,47,02e49b27-c296-483c-b6e7-dc5e56564ca2,-80.6056189999169,-5.14336200005619
Cajamarca,San Ignacio,San Ignacio,Norte Chiclayo,57,-78.99463654,-5.151316643,San Ignacio,NO,La creación del establecimiento data del mes de julio del año 1984 llamado en un comienzo Establecimiento Penal “San Ignacio de Loyola”.,https://www.inpe.gob.pe/region-norte/item/136-e-p-san-ignacio.html,"Av. Jose Quiñones Gonzales, Cuadra 01, sector santiago.",4/23/2021 12:00:00 AM,INPE_2020,48,15f19db4-6079-407b-9547-371696f17ae9,-78.9946839997667,-5.15110400004954
Piura,Sullana,Sullana,Norte Chiclayo,59,-80.69485474,-4.897583961,Sullana,NO,"El Establecimiento Penal de Mujeres Sullana se encuentra ubicado en la calle María Auxiliadora Nro. 101 de la Provincia de Sullana, departamento de Piura.",https://www.inpe.gob.pe/region-norte/item/137-e-p-sullana.html,Calle María Auxiliadora N° 103,4/23/2021 12:00:00 AM,INPE_2020,49,82d89d45-def4-498b-bc51-b7d0a91047e2,-80.6946300001744,-4.89758400010146
La Libertad,Trujillo,Huanchaco,Norte Chiclayo,64,-79.05948639,-8.028059006,Trujillo,SI,El Establecimiento Penitenciario de Trujillo Varones fue construido durante el segundo gobierno del presidente Fernando Belaunde Terry 1980-1985.,https://www.inpe.gob.pe/region-norte/item/139-e-p-trujillo-varones.html,Panamericana Norte Km. 570 (Huanchaco),4/23/2021 12:00:00 AM,INPE_2020,50,ac94f23c-aeb6-47f6-827f-9753789d69de,-79.0580790004455,-8.02700199974242
Tumbes,Tumbes,Tumbes,Norte Chiclayo,66,-80.43232727,-3.553847075,Tumbes,SI,"El Establecimiento Penitenciario Tumbes fue inaugurado en el mes de febrero del año 2000, está ubicado en el cruce puerto Pizarro S/N – Tumbes",https://www.inpe.gob.pe/region-norte/item/140-e-p-tumbes.html,"Km. 09, Carretera a Puerto Pizarro.",4/23/2021 12:00:00 AM,INPE_2020,51,9878d595-31d6-4785-961f-3a1bee569da8,-80.3788970000965,-3.53346900029408
Pasco,Pasco,Simon Bolivar,Oriente Huánuco,15,-76.26568604,-10.68600273,Cerro de Pasco,NO,"Ha sido acondicionado en una infraestructura antigua que pertenecía al Ferrocarril central y data del año 1910. En el mes de junio del año 2004 fue remodelado, terminando la remodelación el 20 de Mayo de 2005.",https://www.inpe.gob.pe/region-oriente/item/95-e-p-cerro-de-pasco.html,"Av. Las Malvinas s/n Barrio Buenos Aires, Simon Bolivar-Rancas.",4/23/2021 12:00:00 AM,INPE_2020,52,b23db95e-4af2-4c45-b4c8-2fef630cb1f9,-76.2656889999474,-10.6865500003822
Pasco,Pasco,Vicco,Oriente Huánuco,25,-76.28631592,-10.89049721,Cochamarca,NO,El Establecimiento Penitenciario de Cochamarca fue construido durante el gobierno del presidente OLLANTA HUMALA TASO 2012-2016.,https://www.inpe.gob.pe/region-oriente/item/97-e-p-cochamarca.html,Cochamarca 19410,4/23/2021 12:00:00 AM,INPE_2020,53,3c479fb6-7a19-4517-8390-ba73c39d1a16,-76.2863139995914,-10.8904970003363
Huanuco,Huanuco,Pillco Marca,Oriente Huánuco,33,-76.25302124,-9.96684742,Huánuco,SI,"Fue inaugurado en el año 1992, siendo presidente de la república el Ingeniero Alberto Fujimori.",https://www.inpe.gob.pe/region-oriente/item/94-e-p-huanuco.html,Caserio Potracancha – Cayhuana,4/23/2021 12:00:00 AM,INPE_2020,54,668b1e7d-c643-4308-adb4-ad8a67533a8b,-76.253024999604,-9.96684699968921
Ucayali,Coronel Portillo,Callería,Oriente Huánuco,52,-74.63877869,-8.406033516,Pucallpa,SI,"Establecimiento Penitenciario de Pucallpa, se encuentra ubicado en el Kilómetro (11.800) de la Carretera Federico Basadre, margen izquierda  Distrito de Callería, Provincia de Coronel Portillo, Departamento de Ucayali.",https://www.inpe.gob.pe/region-oriente/item/96-e-p-pucallpa.html,Carret. Federico Basadre Km. 11.800,4/23/2021 12:00:00 AM,INPE_2020,55,895fea6f-66a8-4012-a58b-d8741503b1bd,-74.6305860004435,-8.40654799999015
